store,sku,name,brand,category,quantity_value,quantity_unit,pack_size,price_eur,price_bgn
Kaufland,20800651,Nucrema Какаов крем промопакет,Nucrema,Напитки алкохолни,,,,4.08,7.98
Kaufland,01001500,Вита баница различни видове,,Хляб и печива,,,,2.29,4.48
Kaufland,20822137,Кроасан с кренвирш от свинско месо,,Месо и колбаси,,,,0.65,1.27
Kaufland,20862600,Закуска с пушено сирене и шунка,,Млечни продукти,,,,0.5,0.98
Kaufland,20778077,Геврек със сирене и сусам от нашата пекарна,,Млечни продукти,,,,0.5,0.98
Kaufland,20790215,Багета от нашата пекарна,,Хляб и печива,,,,0.86,1.68
Kaufland,20669348,Баничка различни видове,,Хляб и печива,,,,0.3,0.59
Kaufland,00107666,MILKA/ OREO Донът от нашата пекарна,Milka,Други,,,,0.61,1.19
Kaufland,00107683,Донът с пълнеж и бисквитки от нашата пекарна,,Други,,,,0.61,1.19
Kaufland,01004053,Баничка тип пура от нашата пекарна,,Хляб и печива,,,,0.3,0.59
Kaufland,00046009,Кашкавалка от нашата пекарна,,Млечни продукти,,,,0.61,1.19
Kaufland,00064896,Хляб със сусамово семе от нашата пекарна,,Хляб и печива,,,,0.76,1.49
Kaufland,00105391,Сомун от нашата пекарна,,Други,,,,0.55,1.08
Kaufland,00107679,Донът с ягодов пълнеж,,Други,,,,0.4,0.78
Kaufland,00021453,Бял земел от нашата пекарна,,Хляб и печива,,,,0.04,0.08
Kaufland,20884075,Ида Tорта Шварцвалд,,Други,,,,7.15,13.98
Kaufland,00085470,Елей Баварски сладкиш с шоколад,,Напитки безалкохолни,,,,2.75,5.38
Kaufland,00047358,Baci Dolci Торта Тирамису,,Сладкарски изделия,,,,5.36,10.48
Kaufland,20663534,Целувки различни видове,,Други,,,,1.27,2.48
Kaufland,20663535,Целувки различни видове,,Други,,,,1.27,2.48
Kaufland,20619414,Couple cake Кексче различни вкусове,,Хляб и печива,,,,1.68,3.29
Kaufland,20619415,COUPLE CAKE Кексче различни вкусове,,Хляб и печива,,,,1.68,3.29
Kaufland,00027142,Руен Бисквити различни видове,,Сладкарски изделия,,,,1.02,1.99
Kaufland,00027145,Бисквити с мармалад или с локум,,Сладкарски изделия,,,,1.02,1.99
Kaufland,00011589,Хляб Добруджа,Добруджа,Хляб и печива,,,,0.61,1.19
Kaufland,00091442,Bg Line Суха паста Ретро различни видове,,Паста и тестени,,,,0.3,0.59
Kaufland,02901742,Вита Силует Хляб различни видове,,Хляб и печива,,,,1.22,2.39
Kaufland,02901743,Вита Силует Хляб различни видове,,Хляб и печива,,,,1.22,2.39
Kaufland,00059631,7 Days Max/7 Days Double Max Кроасан различни видове,,Хляб и печива,,,,0.61,1.19
Kaufland,00059635,7 DAYS Кроасан Double ванилия&ягода,,Хляб и печива,,,,0.61,1.19
Kaufland,20902696,Поничка сърце от нашата пекарна,,Други,,,,0.66,1.29
Kaufland,20805165,ИДА Торта меден йогурт,,Млечни продукти,,,,6.64,12.99
Kaufland,20553557,Сладкиш сърце с ягоди,,Плодове и зеленчуци,,,,0.81,1.58
Kaufland,00045226,КРИНОС Торта Френска селска,,Сладкарски изделия,,,,4.08,7.98
Kaufland,00106682,Tasty Еклер с шоколад,,Напитки безалкохолни,,,,2.04,3.99
Kaufland,20870768,АЕА Тарали различни видове,,Други,,,,1.53,2.99
Kaufland,20870760,АЕА Тарали различни видове,,Други,,,,1.53,2.99
Kaufland,20878897,ПРЕСТИЖ Миникейк различни видове,,Други,,,,0.25,0.49
Kaufland,00113714,GRAND COMMERCE Кифлички различни видове,,Други,,,,1.02,1.99
Kaufland,00108581,Кифлички с какаов крем,,Козметика,,,,1.02,1.99
Kaufland,00105448,Пърленка от нашата пекарна,,Хляб и печива,,,,0.09,0.18
Kaufland,00078342,Домашни сладки,,Други,,,,5.11,9.99
Kaufland,20809490,Традиция за трапезата Сладко жито,,Други,,,,1.45,2.84
Kaufland,20913129,Донът Купидон с бели сърчица от нашата пекарна,,Други,,,,0.45,0.88
Kaufland,20914896,TASTY Торта Св. Валентин с бял шоколад,,Напитки безалкохолни,,,,4.99,9.76
Kaufland,00094417,Брей! Българска пшеница грухана,Брей!,Други,,,,0.66,1.29
Kaufland,01300870,Олинеза Майонеза за салати,,Подправки и сосове,,,,3.57,6.98
Kaufland,00076923,Nutella Лешниково-какаов крем,Nutella,Козметика,,,,7.66,14.98
Kaufland,00063066,Топаз Мел Брашно тип 500,,Други,,,,2.79,5.46
Kaufland,00067258,COSTA D'ORO LE COLLINE Маслиново масло,,Млечни продукти,,,,7.66,14.98
Kaufland,20916710,ATANI Сладък червен пипер млян,,Плодове и зеленчуци,,,,3.49,6.83
Kaufland,00091388,Закуска Болонезе от нашата пекарна,,Други,,,,0.66,1.29
Kaufland,00070882,Багета със семена от нашата пекарна,,Хляб и печива,,,,0.23,0.45
Kaufland,20281813,Боровец Кексче различни видове,,Хляб и печива,,,,0.76,1.49
Kaufland,00083806,Руло различни видове,,Други,,,,1.53,2.99
Kaufland,00017998,Торта Сахер,,Сладкарски изделия,,,,6.64,12.99
Kaufland,00080261,Роден край Суха паста,,Паста и тестени,,,,1.07,2.09
Kaufland,00083792,Руло различни вкусове,,Други,,,,1.53,2.99
Kaufland,00017406,Salza Соленки с вкус различни видове,,Други,,,,1.22,2.39
Kaufland,20132053,Веган кроасан с пълнеж кайсия,,Хляб и печива,,,,0.4,0.78
Kaufland,20348772,Дон Домат Конфитюр различни видове,,Консерви,,,,2.04,3.99
Kaufland,04000310,Nestle Зърнена закуска различни видове,Nestle,Други,,,,3.21,6.28
Kaufland,00078864,HEINZ Майонеза класик,Heinz,Подправки и сосове,,,,2.29,4.48
Kaufland,00083047,ETI Солети с кашкавал,,Млечни продукти,,,,0.23,0.45
Kaufland,00083046,ETI Солети различни видове,,Снаксове,,,,0.23,0.45
Kaufland,20346713,Star Снакс различни вкусове,,Други,,,,0.61,1.19
Kaufland,20346712,Star Снакс фъстък и лешник,,Други,,,,0.61,1.19
Kaufland,02702980,Амфора Бонбони,,Сладкарски изделия,,,,1.53,2.99
Kaufland,02800541,Боровец Вафла различни вкусове,,Други,,,,0.23,0.45
Kaufland,02800030,Боровец Вафли различни видове,,Сладкарски изделия,,,,0.23,0.45
Kaufland,00034619,Пловдивски локум различни видове,,Сладкарски изделия,,,,0.5,0.98
Kaufland,00034618,Кристал Локум,,Сладкарски изделия,,,,0.5,0.98
Kaufland,20343845,Сладки времена Минилокум обикновен,,Сладкарски изделия,,,,0.13,0.25
Kaufland,20343843,Сладки времена Локум или Халва различни видове,,Сладкарски изделия,,,,0.13,0.25
Kaufland,00080693,Хели Вафла Ретро избрани видове,,Други,,,,0.28,0.55
Kaufland,00090027,Хели Ретро вафла избрани видове,,Други,,,,0.28,0.55
Kaufland,00075956,Roshen Шоколадови бонбони,Roshen,Напитки безалкохолни,,,,4.85,9.49
Kaufland,00103912,Roshen Шоколадови бонбони Chocolateria,Roshen,Напитки безалкохолни,,,,4.85,9.49
